Funnel,$distinct_id,Time to Linked Bank
Time to Linked Bank,$device:DC98187F-4CBF-4D15-BA18-DD9CB89FA660,
Time to Linked Bank,$device:3194797C-CCFC-43F0-8857-551A9BA35D60,5.371585648148148
Time to Linked Bank,$device:5BF3383F-8E54-4E18-822D-DF267F7BC940,
Time to Linked Bank,$device:b50bf1e9-1604-4404-a6a8-691053ffbbf7,
Time to Linked Bank,$device:B6495936-092B-4072-9943-38B58F23D986,
Time to Linked Bank,$device:092237DA-7D05-4203-83E0-5C24A6177726,
Time to Linked Bank,$device:ACF01B08-B320-47A7-BEEB-9721ED3DAA9F,
Time to Linked Bank,$device:F144CF87-9FD0-4693-98A9-134F70EB3D1D,1.7407060185185186
Time to Linked Bank,$device:3A0EB62E-FE19-474B-A6B9-90E504CEC8BE,
Time to Linked Bank,$device:C93FF52C-B1F5-44D1-83B3-776A753E479E,
Time to Linked Bank,$device:EE4A1511-723F-4549-83D9-FF49D0C864E1,
Time to Linked Bank,$device:1A05053B-3B85-49C0-B6E8-9AD34618EABA,
Time to Linked Bank,$device:1FABBF0B-7D53-4347-AAF0-4D9C65C19EDD,
Time to Linked Bank,$device:0F6F15D9-3912-4E46-804F-DE03465CE778,
Time to Linked Bank,$device:DFBC3D61-A3BC-425F-B16E-0CF90C3A1D5A,
Time to Linked Bank,$device:d9c28aa1-b628-4198-91fe-0968da89e73d,
Time to Linked Bank,$device:23F9BAD7-AF14-4A34-B00C-45758B0DB767,0.08658564814814815
Time to Linked Bank,$device:C8EE853F-2E15-4F43-84D8-4D234D66D8FD,
Time to Linked Bank,$device:68527D91-F0A8-4FA1-95E8-01A2927EAF39,0.009351851851851853
Time to Linked Bank,$device:9FE1E7E5-1512-4C09-BDBC-92317B34DD0C,
Time to Linked Bank,$device:08D6C957-6F3D-47BD-A66D-6E4122C05EF9,
Time to Linked Bank,$device:B0FE2DF2-24EE-457C-9387-521574FE0C8C,
Time to Linked Bank,$device:5B44668B-DE2F-486A-A776-40356A113D88,
Time to Linked Bank,$device:105C0969-D936-411A-8D2B-BF5A02825988,
Time to Linked Bank,$device:D815230A-7A20-4332-A391-A823A96DC327,
Time to Linked Bank,$device:C99C791F-83EB-47FE-A362-573B36CCAEBB,
Time to Linked Bank,$device:48494699-0b98-4963-9df0-e64af6b3930d,
Time to Linked Bank,$device:F6019EA1-D574-4019-873E-8383A1FB5CC2,
Time to Linked Bank,$device:688E43EB-D27B-4FD4-9B13-B029E8B88A85,1.3176041666666667
Time to Linked Bank,$device:EC1AA8FD-2A8F-4982-9E70-61267E45C022,
Time to Linked Bank,$device:213beeca-656f-46df-a173-2038cd7f4d38,
Time to Linked Bank,$device:36481852-5D1A-4FDD-B617-6ACA9272AE7D,
Time to Linked Bank,$device:815c9ce5-2a6e-4b22-aa45-fb7a801c3013,
Time to Linked Bank,538732127767511040,0.723125
Time to Linked Bank,$device:86EF1331-8C89-403C-9126-2F4E9CD4BCAA,
Time to Linked Bank,$device:0520B87D-6168-4B62-ADC8-2520C5C1A321,0.003414351851851852
Time to Linked Bank,$device:3DD61FA3-96CB-4D8B-9BE2-10FD173A9746,
Time to Linked Bank,$device:43C45DF6-99C2-424D-895D-7206B30FAC65,
Time to Linked Bank,$device:575DE3B8-E971-486B-BA18-AEB0FC55E371,
Time to Linked Bank,$device:A4714DAD-7C76-49D4-8E3E-2C3610838BE9,
Time to Linked Bank,$device:10e24b3a-d565-4694-ba1f-3ee0e4ec1c73,
Time to Linked Bank,$device:C3D579C2-1565-49EA-BD15-AA0B93D5A6CD,0.011967592592592592
Time to Linked Bank,$device:5EA6C3FA-49F1-4D27-BD13-092146B63993,
Time to Linked Bank,$device:D9199F5B-1F33-46F4-AD55-94072009855F,
Time to Linked Bank,$device:54104CCA-E895-48E2-9E2D-021F6DF0C8F6,
Time to Linked Bank,$device:935D06D4-47F3-4E69-9C80-A951EC248555,
Time to Linked Bank,$device:776a6646-ba37-4eca-862e-e261640a6f83,
Time to Linked Bank,$device:1E0E5368-5BE2-4E35-B268-532CA3F1F59A,
Time to Linked Bank,$device:84FD1299-343D-4A12-8089-0B433169494B,
Time to Linked Bank,$device:9786B6D6-F6A2-4F2C-9A35-C8D866FC867A,
Time to Linked Bank,$device:74D7814F-3F1F-4C42-B270-F6E66BFFDA9F,
Time to Linked Bank,$device:993693A2-AB80-48CE-9B74-7037D8A2E3DF,
Time to Linked Bank,$device:C08B1CAF-B396-48FB-8CC0-08448302DFA3,
Time to Linked Bank,$device:4889BD33-B1EF-4671-9E2C-1606441DEB8F,
Time to Linked Bank,$device:C65652C3-F6D4-4A42-86B1-B97A5C360640,
Time to Linked Bank,$device:874d9085-a498-43a1-9b7f-84c5729e2550,
Time to Linked Bank,$device:B013BBC6-B7EE-47F1-9D2C-BF4C49499828,
Time to Linked Bank,$device:47498BB4-394A-4F47-B884-DE7677F043F1,
Time to Linked Bank,$device:3adc4d71-8911-4627-b97b-c67727fb61c5,
Time to Linked Bank,$device:45FB53AC-8F59-4326-B7DA-7C2FF64DAADC,
Time to Linked Bank,$device:14BC4626-DEAB-483D-8481-BACE237B8CD4,0.003981481481481482
Time to Linked Bank,$device:2B4EAB98-4F9A-4553-AC50-F1135A97FD8D,
Time to Linked Bank,$device:97D52146-D2E3-41F9-BA54-B75ADCC6E491,
Time to Linked Bank,$device:79BEEC3D-C00E-4C0E-BB8D-0DAE36000027,
Time to Linked Bank,$device:72A6BF78-49EE-4DD8-80F7-DB962C0178F3,
Time to Linked Bank,$device:1C99606A-2B0A-454B-A8B3-0CABEC0BD23D,
Time to Linked Bank,$device:4725eb68-fb55-480b-84a2-3fe93eaac6aa,
Time to Linked Bank,$device:824064b2-a55f-4b15-84f5-a3a91ec8a3d2,
Time to Linked Bank,$device:BE4CA364-2243-44CB-BBD1-99A42FC50BDD,
Time to Linked Bank,$device:5285312d-2493-46ea-8519-f56c6925144c,
Time to Linked Bank,$device:2745E9D3-0A75-4621-9A75-4FCB765CDC2B,0.17229166666666668
Time to Linked Bank,540706360379715584,
Time to Linked Bank,$device:766980EE-629E-4514-803C-5F0210439ACD,
Time to Linked Bank,540543996103942144,
Time to Linked Bank,$device:EA46F59E-0FC2-4CCF-A0C8-062D898B41C3,0.004837962962962963
Time to Linked Bank,$device:A9A7B871-2D1A-4E43-B0E4-C065BA2AE855,
Time to Linked Bank,$device:d5d3482c-b311-4c0e-bf4c-fe4840d8634e,
Time to Linked Bank,$device:3ce98870-b44a-45ed-8400-fc75f50466ff,0.006701388888888889
Time to Linked Bank,$device:430A3015-C2EB-4DE5-808E-4950A6713453,
Time to Linked Bank,$device:EC1C0878-B7F1-43B1-8C7F-FC950F3E0A16,
Time to Linked Bank,$device:CF69C1BB-0940-48C2-BF97-FC75DB6FC3D2,
Time to Linked Bank,$device:E3B89F18-0D2B-4964-8959-489FD9320FFF,
Time to Linked Bank,$device:dc6ed4cb-70bc-4a9c-ba16-46da2f8f875a,
Time to Linked Bank,$device:7519DDDF-BA4A-4408-B030-1EBB47A2C0C3,
Time to Linked Bank,$device:8BD8C10E-072E-4BAE-87C8-36DC6F1BA7DB,
