$distinct_id,A. Linked Bank Account,income,netWorth,availableCopyCredits,buyingPower,activeCreatedPortfolios,lifetimeCreatedPortfolios,totalWithdrawalCount,totalWithdrawals,investingActivity,investingExperienceYears,investingObjective,investmentType,acquisitionSurvey,B. Total Deposits ($),C. Total Deposit Count,E. Total Copies,G. Total Premium Copies,H. Regular PDP Views,I. Premium PDP Views,L. Premium Creator Profile Views,N. App Sessions,O. Discover Tab Views,P. Leaderboard Tab Views,Q. Premium Tab Views,D. Subscribed within 7 days,F. Total Regular Copies,J. Paywall Views,K. Regular Creator Profile Views,M. Total Subscriptions,R. Stripe Modal Views,S. Creator Card Taps,T. Portfolio Card Taps,Time To First Copy (Days),Time To Funded Account (Days),Time To Linked Bank (Days)
$device:439B4A44-DD1E-48AB-9B4D-E38A2BD40536,1,25k–50k,<100k,1,499.43,0,1,0,0,occasional,1–3,capital-appreciation,moderate,Podcast,500,1,1,1,1,4,1,35,5,13,9,,,,,,,,,4.5352199074074075,3.479791666666667,3.479016203703704
$device:4F2C6DCF-44C7-4B4B-8E3B-D82193827284,1,undefined,undefined,0,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,200,1,2,,12,8,,17,2,3,2,,2,3,5,,,1,3,0.016712962962962964,1.8960416666666666,0.013043981481481481
$device:3F6CC015-1342-42B8-9F10-D8F2C2FD6B0E,1,undefined,undefined,1,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,200,1,1,1,,4,,19,1,4,3,1,,3,2,1,1,,,0.018310185185185186,0.017847222222222223,0.007291666666666667
543647605361741824,1,undefined,undefined,1,0,0,0,1,209.46,undefined,undefined,undefined,undefined,undefined,409.46,2,1,1,,6,,9,1,3,,,,,,,,,,0.5183101851851852,0.5177662037037037,0.5175694444444444
$device:13DFE90A-A8F8-4907-8DFE-F0D5CF673CE2,1,50k–100k,<100k,2,0,0,0,0,0,day-trade,0,growth,aggressive,Facebook,,,,,,,,3,,,,,,,,,,,,,,0.008229166666666666
$device:633119BB-A90E-4F69-A7B3-099E3396011E,1,undefined,undefined,1,127.02,0,0,0,0,undefined,undefined,undefined,undefined,undefined,5000,1,1,1,1,20,5,54,2,3,2,1,,4,5,1,1,,,3.2584837962962965,3.8198842592592595,3.253912037037037
$device:5FC2D566-AA54-482F-AA1C-1C8EEAC59520,1,100k–200k,<100k,0,500.01,0,0,0,0,passive,0,balanced,moderate,Instagram,2000,1,3,1,8,5,,19,,3,,,2,,3,,,,,0.00625,0.5212268518518518,0.004618055555555556
$device:12DC6295-0E20-41F9-AF7D-6BEE674746CB,1,undefined,undefined,2,0,0,0,0,0,undefined,undefined,undefined,undefined,undefined,,,,,3,4,,15,2,1,,,,2,2,,,,,,,5.188923611111111
$device:875AEFDD-B74C-4AA1-A3A4-F3201601E5EB,1,undefined,undefined,0,4.61,0,0,0,0,undefined,undefined,undefined,undefined,undefined,200,1,2,,16,17,2,31,,11,3,,2,,4,,,1,,0.10393518518518519,0.5477314814814814,0.019212962962962963
$device:D84E5619-DC63-4B91-8402-1A180C957E91,1,undefined,undefined,0,0,0,0,1,196.53,undefined,undefined,undefined,undefined,undefined,396.53,2,2,2,2,15,,32,3,7,4,,,,1,,,,,0.015023148148148148,0.014270833333333333,0.013599537037037037
